Country,Score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Austria,6.904699802398682,6.985579967498779,6.823819637298584,1.8852653503417969,1.3363960981369019,0.6961738467216492,0.7027449011802673,0.21388137340545654,0.3045547604560852,1.7656965255737305
Canada,6.899600028991699,6.983759880065918,6.8154401779174805,1.8397207260131836,1.4586304426193237,0.7010210156440735,0.7300763726234436,0.23020142316818237,0.3682193458080292,1.5717363357543945
Belgium,6.894199848175049,6.961106777191162,6.8272929191589355,1.8680410385131836,1.4404232501983643,0.6899329423904419,0.7287610173225403,0.17046746611595154,0.31080135703086853,1.6858019828796387
Ireland,6.8379998207092285,6.927323341369629,6.748676300048828,2.128828525543213,1.3898677825927734,0.6996371746063232,0.7576206922531128,0.2051975578069687,0.4181419312953949,1.238706111907959
Czechia,6.821800231933594,6.902942180633545,6.740658283233643,1.783191442489624,1.511010766029358,0.637978196144104,0.7865010499954224,0.17684875428676605,0.06785252690315247,1.858396053314209
Lithuania,6.817500114440918,6.896103382110596,6.73889684677124,1.7656822204589844,1.4535820484161377,0.5983978509902954,0.532685399055481,0.0438363291323185,0.11584359407424927,2.307422637939453
United Kingdom,6.749000072479248,6.833165168762207,6.664834976196289,1.8222154378890991,1.3261128664016724,0.6719276905059814,0.7131040692329407,0.2665885388851166,0.3513416647911072,1.5976767539978027
Slovenia,6.743299961090088,6.843320846557617,6.643279075622559,1.785599946975708,1.5022037029266357,0.6947828531265259,0.789495587348938,0.1574997752904892,0.13059186935424805,1.6831049919128418
United Arab Emirates,6.733099937438965,6.823302268981934,6.642897605895996,1.9831197261810303,1.163949728012085,0.5625772476196289,0.8149963617324829,0.2089317888021469,0.2583046853542328,1.7411832809448242
United States,6.724800109863281,6.818423271179199,6.631176948547363,1.9388630390167236,1.3917354345321655,0.5424013733863831,0.5863540172576904,0.22328564524650574,0.16915079951286316,1.8730554580688477
Germany,6.718500137329102,6.814547538757324,6.622452735900879,1.8713324069976807,1.3896832466125488,0.7024111151695251,0.6998473405838013,0.17416264116764069,0.36781448125839233,1.5132412910461426
Mexico,6.677999973297119,6.781058311462402,6.574941635131836,1.5207414627075195,1.2411946058273315,0.5444703102111816,0.7221110463142395,0.08588467538356781,0.12664742767810822,2.4369382858276367
Uruguay,6.611499786376953,6.695775032043457,6.527224540710449,1.5955692529678345,1.4314388036727905,0.5915745496749878,0.7751896381378174,0.10605079680681229,0.22047239542007446,1.8911705017089844
France,6.609000205993652,6.685018062591553,6.532982349395752,1.818342924118042,1.3481022119522095,0.727346658706665,0.6498203873634338,0.11227957904338837,0.28087812662124634,1.6721882820129395
Saudi Arabia,6.593500137329102,6.706503391265869,6.480496883392334,1.8423970937728882,1.3606481552124023,0.5112393498420715,0.7871184349060059,0.11389053612947464,0.18797534704208374,1.7902798652648926
Kosovo,6.560999870300293,6.666873931884766,6.45512580871582,1.3642358779907227,1.2768206596374512,0.5991464257240295,0.7393392324447632,0.2538259029388428,0.07263582199811935,2.255013942718506
Singapore,6.522799968719482,6.605254173278809,6.440345764160156,2.118098497390747,1.3612234592437744,0.768915593624115,0.7429482936859131,0.1682988554239273,0.5751092433929443,0.7881817817687988
Taiwan Province of China,6.503499984741211,6.597265243530273,6.409734725952148,1.8415800333023071,1.3458658456802368,0.6497621536254883,0.6490362286567688,0.06830934435129166,0.20234744250774384,1.7465739250183105
Romania,6.491199970245361,6.591965675354004,6.390434265136719,1.6990300416946411,1.235722541809082,0.5825824737548828,0.7165672779083252,0.04071105271577835,0.00631705904379487,2.2102465629577637
El Salvador,6.468699932098389,6.59910249710083,6.338297367095947,1.2650809288024902,1.07977294921875,0.5487348437309265,0.8160305023193359,0.08252312242984772,0.25271326303482056,2.423853874206543
Estonia,6.447700023651123,6.523958683013916,6.37144136428833,1.751847267150879,1.5270930528640747,0.6573477983474731,0.8053753972053528,0.166459858417511,0.4014934003353119,1.1380481719970703
Poland,6.441500186920166,6.513087749481201,6.369912624359131,1.737703800201416,1.417370080947876,0.6393550038337708,0.6000397205352783,0.08053424209356308,0.17530547082424164,1.7911958694458008
Spain,6.420899868011475,6.50246000289917,6.339339733123779,1.7661887407302856,1.4706276655197144,0.7294251322746277,0.6189807653427124,0.1188289225101471,0.17715202271938324,1.5396742820739746
Serbia,6.410799980163574,6.521622657775879,6.2999773025512695,1.5378245115280151,1.3914881944656372,0.5853429436683655,0.663226842880249,0.20013310015201569,0.10063029080629349,1.9321393966674805
Chile,6.360300064086914,6.447563648223877,6.273036479949951,1.6164460182189941,1.368983507156372,0.6733104586601257,0.6508315801620483,0.11698983609676361,0.07547600567340851,1.8582172393798828
Panama,6.3582000732421875,6.48923921585083,6.227160930633545,1.7017160654067993,1.3919932842254639,0.6331538558006287,0.7199233770370483,0.06269905716180801,0.042526066303253174,1.806234359741211
Malta,6.345799922943115,6.430154323577881,6.26144552230835,1.8269320726394653,1.4435973167419434,0.7065659761428833,0.727013111114502,0.2500358819961548,0.12470190227031708,1.266977310180664
Italy,6.323500156402588,6.43604040145874,6.2109599113464355,1.8001515865325928,1.328234076499939,0.719723641872406,0.5129874348640442,0.1121148094534874,0.07356130331754684,1.7767572402954102
Guatemala,6.2870001792907715,6.457012176513672,6.116988182067871,1.2595252990722656,1.1688857078552246,0.4669117331504822,0.735303521156311,0.10533516108989716,0.07777146995067596,2.4733049869537354
Nicaragua,6.283899784088135,6.433215618133545,6.134583950042725,1.0972721576690674,1.263219952583313,0.5424009561538696,0.7934064865112305,0.13309508562088013,0.25100430846214294,2.2034974098205566
Brazil,6.271999835968018,6.390432357788086,6.153567314147949,1.4295258522033691,1.26877760887146,0.547910213470459,0.6852237582206726,0.1300390213727951,0.14245125651359558,2.0680737495422363
Slovakia,6.2571001052856445,6.332169055938721,6.182031154632568,1.705541968345642,1.5402960777282715,0.6379642486572266,0.5664194822311401,0.09604979306459427,0.05791674926877022,1.6529583930969238
Latvia,6.234499931335449,6.3143768310546875,6.154623031616211,1.7002942562103271,1.5084776878356934,0.5638401508331299,0.6662898063659668,0.12718558311462402,0.07843801379203796,1.590012550354004
Uzbekistan,6.195000171661377,6.303182601928711,6.086817741394043,1.2116951942443848,1.394471526145935,0.5389211177825928,0.8349536061286926,0.25148025155067444,0.21466396749019623,1.7487668991088867
